Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty,Package,Series,"Part Status","Capacitance","Tolerance","Voltage - Rated","ESR (Equivalent Series Resistance)","Lifetime @ Temp.","Termination","Mounting Type","Package / Case","Lead Spacing","Size / Dimension","Height - Seated (Max)","Operating Temperature"
"https://www.vishay.com/docs/28362/196dlc.pdf","-","56-MAL219632104E3-ND","MAL219632104E3","Vishay Beyschlag/Draloric/BC Components","Vishay Beyschlag/Draloric/BC Components","CAP 100MF -20% +80% 5.5V T/H","0","2.21774","0","2000","Tape & Reel (TR)","196 DLC","Active","100 mF","-20%, +80%","5.5 V","75Ohm","1000 Hrs @ 70°C","PC Pins","Through Hole","Axial, Can","0.197"" (5.00mm)","0.453"" Dia x 0.512"" L (11.50mm x 13.00mm)","-","-25°C ~ 70°C"
"https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-kr-supercapacitors-coin-cells-data-sheet.pdf","-","KR-5R5C224H-R-ND","KR-5R5C224H-R","Eaton - Electronics Division","Eaton - Electronics Division","CAP 220MF -20% +80% 5.5V T/H","0","2.21796","0","500","Bulk","KR","Active","220 mF","-20%, +80%","5.5 V","75Ohm @ 1kHz","1000 Hrs @ 70°C","PC Pins","Through Hole","Radial, Can","0.197"" (5.00mm)","0.531"" Dia (13.50mm)","0.256"" (6.50mm)","-25°C ~ 70°C"
"//media.digikey.com/pdf/Data%20Sheets/Elna%20America%20Inc/DS,DSK.pdf","//media.digikey.com/Photos/Elna%20America%20Photos/DSKW-SERIES.jpg","604-1020-2-ND,604-1020-1-ND,604-1020-6-ND","DSK-3R3H224U-HL","Elna America","Elna America","CAP 220MF -20% +80% 3.3V SMD","0","2.23","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","DSK","Active","220 mF","-20%, +80%","3.3 V","200Ohm","1000 Hrs @ 60°C","SMD (SMT) Tabs","Surface Mount","Coin, Wide Terminals - Opposite Sides","-","0.268"" Dia (6.80mm)","0.118"" (3.00mm)","-10°C ~ 60°C"
"http://datasheets.avx.com/BestCap.pdf","-","478-BZ195B273ZNBA2-ND","BZ195B273ZNBA2","AVX Corporation","AVX Corporation","BESTCAP","0","2.23874","0","390","Bulk","BestCap® BZ","Active","27 mF","-20%, +80%","5.5 V","-","1000 Hrs @ 70°C","-","Through Hole","BZ09, 2 Lead","-","0.669"" L x 0.591"" W (17.00mm x 15.00mm)","-","-20°C ~ 70°C"
"-","-","478-SCMR14C474MRTA0-ND","SCMR14C474MRTA0","AVX Corporation","AVX Corporation","CAP 470MF 20% 5V MODULE","0","2.24146","0","900","Tray","SCM","Active","470 mF","±20%","5 V","300mOhm @ 1kHz","1000 Hrs @ 65°C","Cable with Connector","User Defined","Module","-","16.339"" L x 7.480"" W (415.00mm x 190.00mm)","7.087"" (180.00mm)","-40°C ~ 65°C"
"https://datasheets.avx.com/AVX-SCM.pdf","-","478-SCMR14C474PRTA0-ND","SCMR14C474PRTA0","AVX Corporation","AVX Corporation","CAP 470MF 0% +100% 5V MODULE","0","2.24146","0","900","Tray","SCM","Active","470 mF","0%, +100%","5 V","-","1000 Hrs @ 65°C","Cable with Connector","User Defined","Module","-","16.339"" L x 7.480"" W (415.00mm x 190.00mm)","7.087"" (180.00mm)","-40°C ~ 65°C"
"https://www.vishay.com/docs/28455/235edlc-hvr-enycap.pdf","//media.digikey.com/Photos/Vishay BC Photos/MFG_ENYCAP-235-EDLC-HVR-Series.jpg","56-MAL223531013E3-ND","MAL223531013E3","Vishay Beyschlag/Draloric/BC Components","Vishay Beyschlag/Draloric/BC Components","CAP ALUM 10F 3V 1000H","0","2.24656","0","1600","Box","ENYCAP™ 235 EDLC-HVR","Active","10 F","-20%, +50%","3 V","24mOhm @ 1kHz","1000 Hrs @ 85°C","PC Pins","Through Hole","Radial, Can","0.197"" (5.00mm)","0.394"" Dia (10.00mm)","1.260"" (32.00mm)","-40°C ~ 85°C"
"https://www.vishay.com/docs/28450/230edlc-hv-enycap.pdf","//media.digikey.com/Photos/Vishay BC Photos/MFG_ENYCAP-230-EDLC-HV-Series.jpg","56-MAL223031016E3-ND","MAL223031016E3","Vishay Beyschlag/Draloric/BC Components","Vishay Beyschlag/Draloric/BC Components","CAP ALUM 15F 3V 1500H","0","2.25206","0","1000","Box","ENYCAP™ 230 EDLC-HV","Active","15 F","-20%, +50%","3 V","20mOhm @ 1kHz","1500 Hrs @ 85°C","PC Pins","Through Hole","Radial, Can","0.197"" (5.00mm)","0.492"" Dia (12.50mm)","1.181"" (30.00mm)","-40°C ~ 85°C"
"https://www.vishay.com/docs/28421/220edlc-enycap.pdf","//media.digikey.com/Photos/Vishay%20Beyschlag%20Photos/MFG_MAL2220XXXXXE3.jpg","56-MAL222051003E3-ND","MAL222051003E3","Vishay Beyschlag/Draloric/BC Components","Vishay Beyschlag/Draloric/BC Components","CAP ALUM 20F 2.7V 1000H","0","2.27321","0","750","Box","ENYCAP™ 220 EDLC","Active","20 F","-20%, +50%","2.7 V","18mOhm @ 1kHz","1000 Hrs @ 85°C","PC Pins","Through Hole","Radial, Can","0.295"" (7.50mm)","0.630"" Dia (16.00mm)","0.866"" (22.00mm)","-40°C ~ 85°C"
"https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-kr-supercapacitors-coin-cells-data-sheet.pdf","//media.digikey.com/photos/Cooper%20Bussmann%20Photos/KR-5R5H474-R.jpg","KR-5R5H104-R-T-ND","KR-5R5H104-R-T","Eaton - Electronics Division","Eaton - Electronics Division","CAP 100MF -20% +80% 5.5V T/H","0","2.29563","0","800","Tray","KR","Active","100 mF","-20%, +80%","5.5 V","75Ohm @ 1kHz","1000 Hrs @ 70°C","PC Pins","Through Hole","Axial, Can - Horizontal","0.394"" (10.00mm)","0.453"" Dia (11.50mm)","0.197"" (5.00mm)","-25°C ~ 70°C"
"https://datasheets.avx.com/AVX-SCM.pdf","//media.digikey.com/Photos/AVX%20Photos/MFG_AVX_SCM_HighRel.jpg","SCMR14D474PSBB0H-ND","SCMR14D474PSBB0H","AVX Corporation","AVX Corporation","CAP 470MF 0% +100% 5.4V T/H","0","2.29852","0","270","Bulk","SCM","Active","470 mF","0%, +100%","5.4 V","300mOhm @ 1kHz","1000 Hrs @ 65°C","PC Pins","Through Hole","Radial, Can","0.453"" (11.50mm)","0.728"" L x 0.374"" W (18.50mm x 9.50mm)","0.689"" (17.50mm)","-40°C ~ 85°C"
"https://www.vishay.com/docs/28455/235edlc-hvr-enycap.pdf","//media.digikey.com/Photos/Vishay%20Beyschlag%20Photos/MFG_MAL2235XXXXXE3.jpg","56-MAL223551016E3-ND","MAL223551016E3","Vishay Beyschlag/Draloric/BC Components","Vishay Beyschlag/Draloric/BC Components","CAP ALUM 15F 3V 1500H","0","2.29974","0","1000","Box","ENYCAP™ 235 EDLC-HVR","Active","15 F","-20%, +50%","3 V","20mOhm @ 1kHz","1500 Hrs @ 85°C","PC Pins","Through Hole","Radial, Can","0.197"" (5.00mm)","0.492"" Dia (12.50mm)","1.181"" (30.00mm)","-40°C ~ 85°C"
"http://datasheets.avx.com/AVX-SCC.pdf","//media.digikey.com/Photos/AVX%20Photos/MFG_AVX_SCC-SHRK-WRP.jpg","478-11279-ND","SCCQ12B105PRB","AVX Corporation","AVX Corporation","CAPACITOR 1F 0% +100% 2.7V T/H","3,013","2.3","0","1","Bulk","SCC","Active","1 F","0%, +100%","2.7 V","200mOhm @ 1kHz","1000 Hrs @ 60°C","PC Pins","Through Hole","Radial, Can","0.091"" (2.30mm)","0.248"" Dia (6.30mm)","0.551"" (14.00mm)","-40°C ~ 65°C"
"https://www.tecategroup.com/products/data_sheet.php?i=TPLH-2R7/6.0WR10X20","//media.digikey.com/Photos/TecateGroup/MFG_TPLH-2R7-Series.jpg","2085-TPLH-2R7/6.0WR10X20-ND","TPLH-2R7/6.0WR10X20","Tecate Group","Tecate Group","CAP 6F 2.7V THROUGH HOLE","2,078","2.31","0","1","Bulk","TPLH-2R7","Active","6 F","-","2.7 V","52mOhm @ 1kHz","1500 Hrs @ 85°C","PC Pins","Through Hole","Radial, Can","0.197"" (5.00mm)","0.394"" Dia (10.00mm)","0.866"" (22.00mm)","-40°C ~ 85°C"
"https://api.kemet.com/component-edge/download/datasheet/FM0V473ZF.pdf","//media.digikey.com/photos/Kemet%20Photos/FM-Series.JPG","399-17202-ND","FM0V473ZF","KEMET","KEMET","CAP 47MF -20% +80% 3.5V T/H","747","2.31","0","1","Bulk","FM","Active","47 mF","-20%, +80%","3.5 V","200Ohm @ 1kHz","-","PC Pins","Through Hole","Radial","0.197"" (5.00mm)","0.413"" L x 0.197"" W (10.50mm x 5.00mm)","0.472"" (12.00mm)","-25°C ~ 70°C"
"//media.digikey.com/pdf/Data%20Sheets/Cornell%20Dubilier%20PDFs/EDC_Type_DS.pdf","-","338-EDC474Z5R5V-ND","EDC474Z5R5V","Cornell Dubilier Electronics (CDE)","Cornell Dubilier Electronics (CDE)","0.47F, 5.5V","0","2.31265","0","4000","Bulk","EDC","Active","470 mF","-20%, +80%","5.5 V","50Ohm @ 1kHz","1000 Hrs @ 70°C","PC Pins","Through Hole","Axial, Can - Vertical","0.197"" (5.00mm)","0.453"" Dia (11.50mm)","0.512"" (13.00mm)","-25°C ~ 70°C"
"http://datasheets.avx.com/AVX-SCC.pdf","//media.digikey.com/Photos/AVX%20Photos/MFG_AVX_SCC-SHRK-WRP.jpg","478-10012-ND","SCCR20B335PRB","AVX Corporation","AVX Corporation","CAP 3.3F 0% +100% 2.7V T/H","1,089","2.32","0","1","Bulk","SCC","Active","3.3 F","0%, +100%","2.7 V","95mOhm @ 1kHz","1000 Hrs @ 60°C","PC Pins","Through Hole","Radial, Can","0.138"" (3.50mm)","0.315"" Dia (8.00mm)","0.866"" (22.00mm)","-40°C ~ 65°C"
"http://www.illinoiscapacitor.com/pdf/seriesDocuments/DCR%20series.pdf","//media.digikey.com/Photos/Illinois%20Capacitor/MFG_DCR-Series-less22mm.JPG","306DCR2R3STV-ND","306DCR2R3STV","Illinois Capacitor","Illinois Capacitor","CAP 30F -20% +50% 2.3V T/H","0","2.33071","0","6000","Bulk","DCR","Active","30 F","-20%, +50%","2.3 V","100mOhm @ 1kHz","1000 Hrs @ 70°C","PC Pins","Through Hole","Radial, Can - Snap-In","0.197"" (5.00mm)","0.492"" Dia (12.50mm)","1.043"" (26.50mm)","-25°C ~ 70°C"
"https://www.vishay.com/docs/28421/220edlc-enycap.pdf","//media.digikey.com/Photos/Vishay BC Photos/MFG_ENYCAP-220-EDLC-Series.jpg","56-MAL222031003E3-ND","MAL222031003E3","Vishay Beyschlag/Draloric/BC Components","Vishay Beyschlag/Draloric/BC Components","CAP ALUM 20F 2.7V 1000H","0","2.33672","0","750","Box","ENYCAP™ 220 EDLC","Active","20 F","-20%, +50%","2.7 V","18mOhm @ 1kHz","1000 Hrs @ 85°C","PC Pins","Through Hole","Radial, Can","0.295"" (7.50mm)","0.630"" Dia (16.00mm)","0.866"" (22.00mm)","-40°C ~ 85°C"
"//media.digikey.com/pdf/Data%20Sheets/Cornell%20Dubilier%20PDFs/EDS_Type_DS.pdf","-","338-EDS474Z3R6H-ND","EDS474Z3R6H","Cornell Dubilier Electronics (CDE)","Cornell Dubilier Electronics (CDE)","0.47F, 3.6V","0","2.34878","0","4000","Bulk","EDS","Active","470 mF","-20%, +80%","3.6 V","50Ohm @ 1kHz","1000 Hrs @ 85°C","PC Pins","Through Hole","Axial, Can - Horizontal","0.394"" (10.00mm)","0.453"" Dia (11.50mm)","0.236"" (6.00mm)","-25°C ~ 85°C"
"//media.digikey.com/pdf/Data%20Sheets/Cornell%20Dubilier%20PDFs/EDS_Type_DS.pdf","-","338-EDS474Z3R6V-ND","EDS474Z3R6V","Cornell Dubilier Electronics (CDE)","Cornell Dubilier Electronics (CDE)","0.47F, 3.6V","0","2.34878","0","4000","Bulk","EDS","Active","470 mF","-20%, +80%","3.6 V","50Ohm @ 1kHz","1000 Hrs @ 85°C","PC Pins","Through Hole","Axial, Can - Vertical","0.197"" (5.00mm)","0.453"" Dia (11.50mm)","0.512"" (13.00mm)","-25°C ~ 85°C"
"https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-kr-supercapacitors-coin-cells-data-sheet.pdf","//media.digikey.com/photos/Cooper%20Bussmann%20Photos/KR-5R5H474-R.jpg","283-2818-ND","KR-5R5H104-R","Eaton - Electronics Division","Eaton - Electronics Division","CAP 100MF -20% +80% 5.5V T/H","1,890","2.35","0","1","Bulk","KR","Active","100 mF","-20%, +80%","5.5 V","75Ohm @ 1kHz","1000 Hrs @ 70°C","PC Pins","Through Hole","Axial, Can - Horizontal","0.394"" (10.00mm)","0.453"" Dia (11.50mm)","0.197"" (5.00mm)","-25°C ~ 70°C"
"https://api.kemet.com/component-edge/download/datasheet/FM0V104ZF.pdf","//media.digikey.com/photos/Kemet%20Photos/FM-Series.JPG","399-17201-ND","FM0V104ZF","KEMET","KEMET","CAP 100MF -20% +80% 3.5V T/H","6,682","2.35","0","1","Bulk","FM","Active","100 mF","-20%, +80%","3.5 V","100Ohm @ 1kHz","-","PC Pins","Through Hole","Radial","0.197"" (5.00mm)","0.413"" L x 0.197"" W (10.50mm x 5.00mm)","0.472"" (12.00mm)","-25°C ~ 70°C"
"https://api.kemet.com/component-edge/download/datasheet/FYL0H103ZF.pdf","//media.digikey.com/Photos/Kemet%20Photos/FYL0H103ZF.JPG","399-10789-ND","FYL0H103ZF","KEMET","KEMET","CAP 10MF -20% +80% 5.5V T/H","608","2.36","0","1","Bulk","FYL","Active","10 mF","-20%, +80%","5.5 V","300Ohm @ 1kHz","-","PC Pins","Through Hole","Radial, Can","0.200"" (5.08mm)","0.433"" Dia (11.00mm)","0.217"" (5.50mm)","-25°C ~ 70°C"
"https://www.vishay.com/docs/28455/235edlc-hvr-enycap.pdf","//media.digikey.com/Photos/Vishay%20Beyschlag%20Photos/MFG_MAL2235XXXXXE3.jpg","56-MAL223531016E3-ND","MAL223531016E3","Vishay Beyschlag/Draloric/BC Components","Vishay Beyschlag/Draloric/BC Components","CAP ALUM 15F 3V 1500H","0","2.36209","0","1000","Box","ENYCAP™ 235 EDLC-HVR","Active","15 F","-20%, +50%","3 V","20mOhm @ 1kHz","1500 Hrs @ 85°C","PC Pins","Through Hole","Radial, Can","0.197"" (5.00mm)","0.492"" Dia (12.50mm)","1.181"" (30.00mm)","-40°C ~ 85°C"
"http://www.illinoiscapacitor.com/pdf/seriesDocuments/DCN%20series.pdf","//media.digikey.com/Photos/Illinois%20Capacitor/MFG_DCR-Series-less22mm.JPG","106DCN2R7STJD-ND","106DCN2R7STJD","Illinois Capacitor","Illinois Capacitor","CAP 10F -20%, +50% 2.7V T/H","0","2.3621","0","200","Bulk","DCN","Active","10 F","-20%, +50%","2.7 V","80mOhm","1000 Hrs @ 60°C","PC Pins","Through Hole","Radial, Can","0.197"" (5.00mm)","0.492"" Dia (12.50mm)","1.063"" (27.00mm)","-40°C ~ 60°C"
"https://www.vishay.com/docs/28449/225edlc-r-enycap.pdf","//media.digikey.com/Photos/Vishay%20Beyschlag%20Photos/MFG_MAL2225XXXXXE3.jpg","56-MAL222551003E3-ND","MAL222551003E3","Vishay Beyschlag/Draloric/BC Components","Vishay Beyschlag/Draloric/BC Components","CAP ALUM 20F 2.7V 2000H","0","2.37968","0","750","Box","ENYCAP™ 225 EDLC-R","Active","20 F","-20%, +50%","2.7 V","18mOhm @ 1kHz","2000 Hrs @ 85°C","PC Pins","Through Hole","Radial, Can","0.295"" (7.50mm)","0.630"" Dia (16.00mm)","0.866"" (22.00mm)","-40°C ~ 85°C"
"//media.digikey.com/pdf/Data%20Sheets/Illinois%20Cap/105DCN5R5MCDZ_Spec.pdf","-","105DCN5R5MCDZ-ND","105DCN5R5MCDZ","Illinois Capacitor","Illinois Capacitor","CAP 1F 20% 5.5V THROUGH HOLE","0","2.38491","0","3000","Bulk","DCN","Active","1 F","±20%","5.5 V","1.05Ohm @ 1kHz","1000 Hrs @ 60°C","PC Pins","Through Hole","Radial, Can","0.465"" (11.80mm)","0.689"" L x 0.354"" W (17.50mm x 9.00mm)","0.768"" (19.50mm)","-40°C ~ 60°C"
"//media.digikey.com/pdf/Data%20Sheets/Cornell%20Dubilier%20PDFs/EDS_Type_DS.pdf","-","338-EDS474Z3R6C-ND","EDS474Z3R6C","Cornell Dubilier Electronics (CDE)","Cornell Dubilier Electronics (CDE)","0.47F, 3.6V","0","2.38491","0","3000","Bulk","EDS","Active","470 mF","-20%, +80%","3.6 V","50Ohm @ 1kHz","1000 Hrs @ 85°C","PC Pins","Through Hole","Radial, Can","0.197"" (5.00mm)","0.531"" Dia (13.50mm)","0.276"" (7.00mm)","-25°C ~ 85°C"
"https://www.vishay.com/docs/28421/220edlc-enycap.pdf","//media.digikey.com/Photos/Vishay%20Beyschlag%20Photos/MFG_MAL2220XXXXXE3.jpg","56-MAL222051006E3-ND","MAL222051006E3","Vishay Beyschlag/Draloric/BC Components","Vishay Beyschlag/Draloric/BC Components","CAP ALUM 25F 2.7V 1000H","0","2.41143","0","750","Box","ENYCAP™ 220 EDLC","Active","25 F","-20%, +50%","2.7 V","16mOhm @ 1kHz","1000 Hrs @ 85°C","PC Pins","Through Hole","Radial, Can","0.295"" (7.50mm)","0.630"" Dia (16.00mm)","1.063"" (27.00mm)","-40°C ~ 85°C"
"https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-b-supercapacitors-cylindrical-cells-data-sheet.pdf","//media.digikey.com/photos/Cooper%20Bussmann%20Photos/B%20SERIES%2012.0H,5.5D.jpg","283-2775-ND","B0510-2R5224-R","Eaton - Electronics Division","Eaton - Electronics Division","CAP 220MF -20% +80% 2.5V T/H","6,051","2.42","0","1","Bulk","B","Active","220 mF","-20%, +80%","2.5 V","2Ohm @ 1kHz","1000 Hrs @ 70°C","PC Pins","Through Hole","Radial, Can","0.079"" (2.00mm)","0.217"" Dia (5.50mm)","0.472"" (12.00mm)","-25°C ~ 70°C"
"https://ds.yuden.co.jp/TYCOMPAS/ut/detail?pn=LP08152R7245 &u=M","//media.digikey.com/Photos/Taiyo%20Yuden%20Photos/MFG_LP-Series.jpg","587-6210-ND","LP08152R7245","Taiyo Yuden","Taiyo Yuden","CAP 2.4F 20% 2.7V T/H","0","2.42","0","1","Bulk","LP","Active","2.4 F","±20%","2.7 V","120mOhm @ 1kHz","-","PC Pins","Through Hole","Radial, Can","0.138"" (3.50mm)","0.315"" Dia (8.00mm)","0.669"" (17.00mm)","-40°C ~ 85°C"
"//media.digikey.com/pdf/Data%20Sheets/Cornell%20Dubilier%20PDFs/DSFyyyQ_Series_DS.pdf","//media.digikey.com/photos/Cornell%20Dubilier%20Photos/MFG_DSF_Rad.jpg","1572-DSF106Q3R0-ND","DSF106Q3R0","Illinois Capacitor","Illinois Capacitor","10F 3.0V 10*30","2,112","2.43","0","1","Bulk","DSF","Active","10 F","-10%, +30%","3 V","40mOhm @ 1kHz","1000 Hrs @ 65°C","PC Pins","Through Hole","Radial, Can","0.197"" (5.00mm)","0.394"" Dia (10.00mm)","1.260"" (32.00mm)","-40°C ~ 65°C"
"http://www.elna.co.jp/en/capacitor/double_layer/catalog/pdf/dz_e_p230-231.pdf","//media.digikey.com/Photos/Elna%20America%20Photos/DZ8%20SERIES.JPG","604-1149-ND","DZ-2R5D105G4T","Elna America","Elna America","CAP 1F -20% +80% 2.5V T/H","607","2.43","0","1","Bulk","DZ","Active","1 F","-20%, +80%","2.5 V","1Ohm","1000 Hrs @ 70°C","PC Pins","Through Hole","Radial, Can","0.138"" (3.50mm)","0.315"" Dia (8.00mm)","0.669"" (17.00mm)","-25°C ~ 70°C"
"//media.digikey.com/pdf/Data%20Sheets/Cornell%20Dubilier%20PDFs/DSFyyyQ_Series_DS.pdf","//media.digikey.com/photos/Cornell%20Dubilier%20Photos/MFG_DSF_Rad.jpg","1572-DSF705Q3R0-ND","DSF705Q3R0","Illinois Capacitor","Illinois Capacitor","7F 3.0V 10*25","281","2.43","0","1","Bulk","DSF","Active","7 F","-10%, +30%","3 V","55mOhm @ 1kHz","1000 Hrs @ 65°C","PC Pins","Through Hole","Radial, Can","0.197"" (5.00mm)","0.394"" Dia (10.00mm)","1.063"" (27.00mm)","-40°C ~ 65°C"
"https://api.kemet.com/component-edge/download/datasheet/FYD0H104ZF.pdf","//media.digikey.com/Photos/Kemet%20Photos/FYD0H104ZF.jpg","399-10797-ND","FYD0H104ZF","KEMET","KEMET","CAP 100MF -20% +80% 5.5V T/H","7,505","2.45","0","1","Bulk","FYD","Active","100 mF","-20%, +80%","5.5 V","100Ohm @ 1kHz","-","PC Pins","Through Hole","Radial, Can","0.200"" (5.08mm)","0.512"" Dia (13.00mm)","0.335"" (8.50mm)","-25°C ~ 70°C"
"https://www.tecategroup.com/products/data_sheet.php?i=TPL-1.2/6X15F","//media.digikey.com/Photos/TecateGroup/MFG_TPL-1.2_6X15F.jpg","2085-TPL-1.2/6X15F-ND","TPL-1.2/6X15F","Tecate Group","Tecate Group","CAP 1.2F -10% +20% 2.7V T/H","4,548","2.45","0","1","Bulk","TPL","Active","1.2 F","-10%, +20%","2.7 V","330mOhm @ 1kHz","1000 Hrs @ 85°C","PC Pins","Through Hole","Radial, Can","0.098"" (2.50mm)","0.248"" Dia (6.30mm)","0.650"" (16.50mm)","-40°C ~ 85°C"
"https://www.tecategroup.com/products/data_sheet.php?i=TPL-3.3/10X20F","//media.digikey.com/Photos/TecateGroup/MFG_TPL-3.3_10X20F.jpg","2085-TPL-3.3/10X20F-ND","TPL-3.3/10X20F","Tecate Group","Tecate Group","CAP 3.3F -10% +20% 2.7V T/H","3,684","2.45","0","1","Bulk","TPL","Active","3.3 F","-10%, +20%","2.7 V","150mOhm @ 1kHz","1000 Hrs @ 85°C","PC Pins","Through Hole","Radial, Can","0.197"" (5.00mm)","0.394"" Dia (10.00mm)","0.846"" (21.50mm)","-40°C ~ 85°C"
"http://datasheets.avx.com/AVX-SCC.pdf","//media.digikey.com/Photos/AVX%20Photos/MFG_AVX_SCC-SHRK-WRP.jpg","478-10011-ND","SCCR16B205PRB","AVX Corporation","AVX Corporation","CAPACITOR 2F 0% +100% 2.7V T/H","0","2.45","0","1","Bulk","SCC","Active","2 F","0%, +100%","2.7 V","100mOhm @ 1kHz","1000 Hrs @ 60°C","PC Pins","Through Hole","Radial, Can","0.138"" (3.50mm)","0.315"" Dia (8.00mm)","0.709"" (18.00mm)","-40°C ~ 65°C"
"https://www.tecategroup.com/products/data_sheet.php?i=TPLH-2R7/1.5WR6X15","//media.digikey.com/Photos/TecateGroup/MFG_TPLH-2R7-Series.jpg","2085-TPLH-2R7/1.5WR6X15-ND","TPLH-2R7/1.5WR6X15","Tecate Group","Tecate Group","CAP 1.5F 2.7V THROUGH HOLE","430","2.45","0","1","Bulk","TPLH-2R7","Active","1.5 F","-","2.7 V","231mOhm @ 1kHz","1500 Hrs @ 85°C","PC Pins","Through Hole","Radial, Can","0.098"" (2.50mm)","0.248"" Dia (6.30mm)","0.669"" (17.00mm)","-40°C ~ 85°C"
"https://www.vishay.com/docs/28449/225edlc-r-enycap.pdf","//media.digikey.com/Photos/Vishay BC Photos/MFG_ENYCAP-225-EDLC-R-Series.jpg","56-MAL222531003E3-ND","MAL222531003E3","Vishay Beyschlag/Draloric/BC Components","Vishay Beyschlag/Draloric/BC Components","CAP ALUM 20F 2.7V 2000H","0","2.45067","0","750","Box","ENYCAP™ 225 EDLC-R","Active","20 F","-20%, +50%","2.7 V","18mOhm @ 1kHz","2000 Hrs @ 85°C","PC Pins","Through Hole","Radial, Can","0.295"" (7.50mm)","0.630"" Dia (16.00mm)","0.866"" (22.00mm)","-40°C ~ 85°C"
"https://www.vishay.com/docs/28362/196dlc.pdf","-","56-MAL219612473E3-ND","MAL219612473E3","Vishay Beyschlag/Draloric/BC Components","Vishay Beyschlag/Draloric/BC Components","CAP 47MF -20% +80% 5.5V T/H","0","2.46093","0","1000","Tape & Reel (TR)","196 DLC","Active","47 mF","-20%, +80%","5.5 V","120Ohm","1000 Hrs @ 70°C","PC Pins","Through Hole","Radial, Can","0.197"" (5.00mm)","0.512"" Dia (13.00mm)","0.295"" (7.50mm)","-25°C ~ 70°C"
"https://products.nichicon.co.jp/en/pdf/XJA046/e-juw.pdf","//media.digikey.com/Photos/Nichicon%20Photos/JUWT1155MPD.jpg","493-4331-ND","JUWT1155MPD","Nichicon","Nichicon","CAP 1.5F 20% 2.7V T/H","1,255","2.47","0","1","Bulk","EVerCAP® JUW","Active","1.5 F","±20%","2.7 V","3Ohm @ 1kHz","1000 Hrs @ 70°C","PC Pins","Through Hole","Radial, Can","0.138"" (3.50mm)","0.315"" Dia (8.00mm)","0.512"" (13.00mm)","-25°C ~ 70°C"
"https://www.tecategroup.com/products/data_sheet.php?i=TPLH-2R7/2.8WR8X16","//media.digikey.com/Photos/TecateGroup/MFG_TPLH-2R7-Series.jpg","2085-TPLH-2R7/2.8WR8X16-ND","TPLH-2R7/2.8WR8X16","Tecate Group","Tecate Group","CAP 2.8F 2.7V THROUGH HOLE","1,321","2.47","0","1","Bulk","TPLH-2R7","Active","2.8 F","-","2.7 V","129mOhm @ 1kHz","1500 Hrs @ 85°C","PC Pins","Through Hole","Radial, Can","0.138"" (3.50mm)","0.315"" Dia (8.00mm)","0.709"" (18.00mm)","-40°C ~ 85°C"
"https://www.vishay.com/docs/28421/220edlc-enycap.pdf","//media.digikey.com/Photos/Vishay BC Photos/MFG_ENYCAP-220-EDLC-Series.jpg","56-MAL222031006E3-ND","MAL222031006E3","Vishay Beyschlag/Draloric/BC Components","Vishay Beyschlag/Draloric/BC Components","CAP ALUM 25F 2.7V 1000H","0","2.47681","0","750","Box","ENYCAP™ 220 EDLC","Active","25 F","-20%, +50%","2.7 V","16mOhm @ 1kHz","1000 Hrs @ 85°C","PC Pins","Through Hole","Radial, Can","0.295"" (7.50mm)","0.630"" Dia (16.00mm)","1.063"" (27.00mm)","-40°C ~ 85°C"
"https://api.kemet.com/component-edge/download/datasheet/FG0H104ZF.pdf","//media.digikey.com/Photos/Kemet%20Photos/FG0H104ZF.JPG","399-10793-ND","FG0H104ZF","KEMET","KEMET","CAP 100MF -20% +80% 5.5V T/H","226","2.49","0","1","Bulk","FG","Active","100 mF","-20%, +80%","5.5 V","100Ohm @ 1kHz","-","PC Pins","Through Hole","Radial, Can","0.200"" (5.08mm)","0.433"" Dia (11.00mm)","0.256"" (6.50mm)","-25°C ~ 70°C"
"-","-","478-SCMQ14C474MRTA0-ND","SCMQ14C474MRTA0","AVX Corporation","AVX Corporation","CYLINDRICAL SUPERCAP MODUL","0","2.49413","0","1944","Bulk","*","Active","-","-","-","-","-","-","-","-","-","-","-","-"
"https://datasheets.avx.com/AVX-SCM.pdf","-","478-SCMQ14C474PRTA0-ND","SCMQ14C474PRTA0","AVX Corporation","AVX Corporation","CYLINDRICAL SUPERCAP MODUL","0","2.49413","0","1944","Bulk","*","Active","-","-","-","-","-","-","-","-","-","-","-","-"
"https://www.tecategroup.com/products/data_sheet.php?i=TPLH-2R7/12WR10X30","//media.digikey.com/Photos/TecateGroup/MFG_TPLH-2R7-Series.jpg","2085-TPLH-2R7/12WR10X30-ND","TPLH-2R7/12WR10X30","Tecate Group","Tecate Group","CAP 12F 2.7V THROUGH HOLE","15,364","2.5","0","1","Bulk","TPLH-2R7","Active","12 F","-","2.7 V","36mOhm @ 1kHz","1500 Hrs @ 85°C","PC Pins","Through Hole","Radial, Can","0.197"" (5.00mm)","0.394"" Dia (10.00mm)","1.260"" (32.00mm)","-40°C ~ 85°C"
